Date,Fund1,Fund2,Fund3
08/04/2011,1473.40002441406,6055.7998046875,1328.17004394531
11/04/2011,1467.40002441406,6053.39990234375,1324.4599609375
12/04/2011,1452.90002441406,5964.5,1314.16003417969
13/04/2011,1454.90002441406,6010.39990234375,1314.41003417969
14/04/2011,1471.69995117188,5963.7998046875,1314.52001953125
15/04/2011,1485.30004882813,5996,1319.68005371094
18/04/2011,1492.30004882813,5870.10009765625,1305.14001464844
19/04/2011,1494.5,5896.89990234375,1312.61999511719
20/04/2011,1498.30004882813,6022.2998046875,1330.35998535156
21/04/2011,1503.19995117188,6018.2998046875,1337.38000488281
25/04/2011,1508.59997558594,,1335.25
26/04/2011,1503,6069.39990234375,1347.23999023438
27/04/2011,1516.69995117188,6068.2001953125,1355.66003417969
28/04/2011,1530.80004882813,6069.89990234375,1360.47998046875
29/04/2011,1556,,1363.60998535156
02/05/2011,1556.69995117188,,1361.21997070313
03/05/2011,1540.09997558594,6082.89990234375,1356.61999511719
04/05/2011,1514.90002441406,5984.10009765625,1347.31994628906
05/05/2011,1480.90002441406,5920,1335.09997558594
06/05/2011,1491.19995117188,5976.7998046875,1340.19995117188
09/05/2011,1502.90002441406,5942.7001953125,1346.2900390625
10/05/2011,1516.59997558594,6018.89990234375,1357.16003417969
11/05/2011,1501.09997558594,5976,1342.07995605469
12/05/2011,1506.59997558594,5945,1348.65002441406
13/05/2011,1493.40002441406,5925.89990234375,1337.77001953125
16/05/2011,1490.40002441406,5923.7001953125,1329.46997070313
17/05/2011,1479.80004882813,5861,1328.97998046875
18/05/2011,1495.59997558594,5923.5,1340.68005371094
19/05/2011,1492.19995117188,5956,1343.59997558594
20/05/2011,1508.80004882813,5948.5,1333.27001953125
23/05/2011,1515.30004882813,5835.89990234375,1317.36999511719
24/05/2011,1523.19995117188,5858.39990234375,1316.28002929688
25/05/2011,1526.59997558594,5870.10009765625,1320.46997070313
26/05/2011,1522.80004882813,5881,1325.68994140625
27/05/2011,1536.30004882813,5938.89990234375,1331.09997558594
31/05/2011,1535.90002441406,5990,1345.19995117188
01/06/2011,1542.40002441406,5928.60009765625,1314.55004882813
02/06/2011,1532,5847.89990234375,1312.93994140625
03/06/2011,1541.69995117188,5855,1300.16003417969
06/06/2011,1546.5,5863.2001953125,1286.17004394531
07/06/2011,1543.30004882813,5864.7001953125,1284.93994140625
08/06/2011,1538.09997558594,5808.89990234375,1279.56005859375
09/06/2011,1542.09997558594,5856.2998046875,1289
10/06/2011,1528.59997558594,5765.7998046875,1270.97998046875
13/06/2011,1515,5773.5,1271.82995605469
14/06/2011,1523.80004882813,5803.10009765625,1287.86999511719
15/06/2011,1525.59997558594,5742.60009765625,1265.42004394531
16/06/2011,1529.30004882813,5698.7998046875,1267.64001464844
17/06/2011,1538.59997558594,5714.89990234375,1271.5
20/06/2011,1541.5,5693.39990234375,1278.35998535156
21/06/2011,1546,5775.2998046875,1295.52001953125
22/06/2011,1552.90002441406,5773,1287.14001464844
23/06/2011,1520.09997558594,5674.39990234375,1283.5
24/06/2011,1500.5,5697.7001953125,1268.44995117188
27/06/2011,1496,5722.2998046875,1280.09997558594
28/06/2011,1499.69995117188,5766.89990234375,1296.67004394531
29/06/2011,1509.90002441406,5856,1307.41003417969
30/06/2011,1502.30004882813,5945.7001953125,1320.64001464844
01/07/2011,1482.30004882813,5989.7998046875,1339.67004394531
04/07/2011,,6017.5,
05/07/2011,1512.30004882813,6024,1337.88000488281
06/07/2011,1528.69995117188,6002.89990234375,1339.21997070313
07/07/2011,1530.19995117188,6054.60009765625,1353.21997070313
08/07/2011,1541.19995117188,5990.60009765625,1343.80004882813
11/07/2011,1548.80004882813,5929.2001953125,1319.48999023438
12/07/2011,1561.90002441406,5869,1313.64001464844
13/07/2011,1585.19995117188,5906.39990234375,1317.71997070313
14/07/2011,1589,5847,1308.86999511719
15/07/2011,1589.80004882813,5843.7001953125,1316.14001464844
18/07/2011,1602.09997558594,5752.7998046875,1305.43994140625
19/07/2011,1600.90002441406,5790,1326.72998046875
20/07/2011,1596.69995117188,5853.7998046875,1325.83996582031
21/07/2011,1586.80004882813,5899.89990234375,1343.80004882813
22/07/2011,1601.30004882813,5935,1345.02001953125
25/07/2011,1612,5925.2998046875,1337.43005371094
26/07/2011,1616.59997558594,5929.7001953125,1331.93994140625
